crop,season,year,count
Maize (Makka),Zaid,2013,501
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2013,514
Sorghum (Jowar/Great Millet),Zaid,2013,139
Chillies,Rabi,2012,216
Watermelon,Rabi,2012,473
Watermelon,Kharif,2014,152
Tomato,Rabi,2012,365
Sugarcane (Noble Cane),Kharif,2016,3115
Brinjal,Kharif,2016,3798
Chillies,Kharif,2016,5123
Tomato,Zaid,2016,1043
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2016,385
Sorghum (Jowar/Great Millet),Zaid,2016,143
Wheat,Zaid,2016,107
Bhindi(Okra/Ladysfinger),Zaid,2012,7
Maize (Makka),Zaid,2016,250
Pigeon pea (red gram/arhar/tur),Rabi,2012,1680
Pomegranate,Rabi,2012,877
Mango,Rabi,2012,334
Brinjal,Rabi,2012,497
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2016,2061
Mango,Kharif,2016,531
Bhindi(Okra/Ladysfinger),Kharif,2016,1713
Groundnut (pea nut/mung phalli),Kharif,2016,992
Wheat,Kharif,2016,922
Watermelon,Kharif,2009,26
Turmeric,Rabi,2012,162
Bhindi(Okra/Ladysfinger),Rabi,2012,130
Watermelon,Kharif,2016,170
Cotton (Kapas),Kharif,2018,25860
Turmeric,Kharif,2018,3452
Other Named Crops,Kharif,2018,29661
Brinjal,Kharif,2018,2167
Onion,Kharif,2018,5421
Chillies,Kharif,2018,2635
Pomegranate,Kharif,2018,2026
Soybean (bhat),Kharif,2018,9625
Sugarcane (Noble Cane),Kharif,2018,3533
Pigeon pea (red gram/arhar/tur),Kharif,2018,2716
Bhindi(Okra/Ladysfinger),Kharif,2018,1133
Brinjal,Zaid,2014,3930
Bhindi(Okra/Ladysfinger),Zaid,2014,1731
Other Named Crops,Zaid,2014,16331
Chillies,Zaid,2014,3390
Groundnut (pea nut/mung phalli),Zaid,2014,3209
Sugarcane (Noble Cane),Zaid,2014,7122
Maize (Makka),Kharif,2018,1195
Tomato,Kharif,2018,1924
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2018,1569
Wheat,Kharif,2018,389
Soybean (bhat),Zaid,2014,4269
Cotton (Kapas),Zaid,2014,9355
Tomato,Zaid,2014,1931
Turmeric,Zaid,2014,918
Maize (Makka),Zaid,2014,867
Mango,Zaid,2014,1271
Pomegranate,Zaid,2014,5147
Watermelon,Zaid,2014,655
Pigeon pea (red gram/arhar/tur),Zaid,2014,603
Onion,Zaid,2014,3235
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2014,792
Sorghum (Jowar/Great Millet),Zaid,2014,215
Mango,Kharif,2018,481
Sorghum (Jowar/Great Millet),Kharif,2018,461
Watermelon,Zaid,2023,22
Mango,Zaid,2024,203
Other Named Crops,Zaid,2024,1716
Turmeric,Zaid,2024,211
Soybean (bhat),Zaid,2024,374
Sugarcane (Noble Cane),Zaid,2024,505
Tomato,Zaid,2024,150
Chillies,Zaid,2024,296
Cotton (Kapas),Zaid,2024,533
Brinjal,Zaid,2024,180
Maize (Makka),Zaid,2024,131
Groundnut (pea nut/mung phalli),Zaid,2024,140
Bhindi(Okra/Ladysfinger),Zaid,2024,106
Pomegranate,Zaid,2024,107
Watermelon,Zaid,2024,46
Pigeon pea (red gram/arhar/tur),Zaid,2024,184
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2024,68
Sorghum (Jowar/Great Millet),Zaid,2024,72
Onion,Zaid,2024,227
Wheat,Zaid,2024,25
Onion,Rabi,2024,4147
Watermelon,Rabi,2024,353
Groundnut (pea nut/mung phalli),Rabi,2024,823
Other Named Crops,Rabi,2024,7177
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2024,6213
Maize (Makka),Rabi,2024,1392
Sugarcane (Noble Cane),Rabi,2024,1894
Sorghum (Jowar/Great Millet),Rabi,2024,1323
Wheat,Rabi,2024,3704
Mango,Rabi,2024,711
